Year,Location,Pathogen,Class,Program Type,Event Type,Spread
2013B,Unknown× (US),Melioidosis,Bacterial,Research,Accident,1 Infected
2013B,Unknown× (US),Brucella,Bacterial,Research,Accident,1 Infected
2014B,Unknown Veterinary Medical,Q-Fever,Bacterial,Research,Accident,2 Infected
,Teaching Hospital× (US),,,,,
2014,South Korea,Dengue,Viral,Research,Accident,1 Infected33
2015B,Unknown University Research,Q-Fever,Bacterial,Research,Accident,2 Serroconversions
,Lab× (US),,,,,
2015B,Unknown Government Research,Brucella,Bacterial,Research,Accident,1 Serroconversion
,Lab× (US),,,,,
2016D,National Center for Foreign,Anthrax,Bacterial,Research,Accident,17
,Animal Disease in Winnipeg,,,,,
,(Canada),,,,,
